id,product_uid,query_root_in_attr,query_compound_in_attr,query_other_in_attr
2,100001,0,1,0
3,100001,0,0,0
9,100002,1,0,0
16,100005,0,2,0
17,100005,1,0,2
18,100006,1,0,1
20,100006,1,0,1
21,100006,1,0,0
23,100007,1,1,0
27,100009,0,1,0
34,100010,1,1,0
35,100011,1,2,2
37,100011,1,1,0
38,100011,1,0,0
48,100012,1,2,2
51,100013,1,0,0
65,100016,1,1,0
69,100017,0,1,0
75,100017,0,1,0
81,100017,0,0,0
85,100017,1,1,0
88,100019,0,0,1
90,100019,1,1,0
92,100019,0,0,1
101,100019,1,0,0
105,100019,1,2,0
106,100019,1,1,0
113,100021,1,0,0
114,100021,1,0,0
117,100022,0,0,2
120,100022,1,3,0
122,100022,0,1,2
123,100023,1,0,0
125,100023,1,0,0
127,100023,0,0,1
136,100026,1,1,0
138,100026,0,1,1
143,100027,1,1,0
147,100028,1,0,0
149,100028,1,1,0
150,100028,0,0,0
157,100028,1,1,0
158,100028,1,1,0
162,100029,1,1,0
164,100030,0,0,0
165,100030,1,1,0
166,100030,1,0,0
172,100033,1,0,1
177,100033,1,2,0
178,100033,0,1,0
179,100033,0,1,1
181,100033,1,0,0
182,100033,1,1,0
186,100033,0,1,0
191,100033,1,1,0
193,100033,1,1,0
195,100034,0,0,0
201,100036,1,0,0
202,100036,0,1,3
203,100036,1,1,0
205,100036,1,1,0
210,100037,0,1,1
214,100038,1,1,1
215,100038,1,1,0
223,100039,0,0,0
226,100039,1,0,2
227,100039,0,0,1
233,100039,0,1,0
241,100042,0,4,0
245,100042,1,0,4
255,100045,1,0,0
257,100046,1,0,0
259,100046,1,0,2
261,100046,0,1,2
266,100046,1,0,0
270,100046,1,0,2
272,100047,1,0,2
275,100047,1,1,0
276,100047,1,1,0
284,100049,1,1,1
290,100050,1,1,0
293,100051,0,0,1
294,100051,1,2,0
297,100051,0,0,0
305,100053,0,0,0
314,100054,1,0,0
318,100054,1,2,0
319,100054,1,1,0
323,100055,1,2,0
327,100055,1,1,0
331,100055,0,2,0
334,100055,1,0,0
335,100055,1,1,0
340,100056,1,0,0
341,100057,1,0,2
343,100057,1,1,0
346,100057,1,0,1
347,100057,0,0,1
350,100057,1,0,0
351,100058,1,1,0
354,100058,0,0,3
355,100058,0,0,0
359,100059,0,0,1
