id,product_uid,word_in_title,word_in_description,len_of_query
2,100001,1,1,2
3,100001,1,1,2
9,100002,1,1,2
16,100005,1,1,3
17,100005,3,2,3
18,100006,1,2,2
20,100006,2,2,3
21,100006,1,1,1
23,100007,2,2,2
27,100009,2,2,2
34,100010,1,2,2
35,100011,4,5,5
37,100011,2,2,2
38,100011,1,1,2
48,100012,4,3,6
51,100013,1,1,1
65,100016,2,2,2
69,100017,0,1,2
75,100017,0,0,4
81,100017,0,0,2
85,100017,0,2,2
88,100019,0,2,4
90,100019,1,1,3
92,100019,1,1,2
101,100019,1,1,2
105,100019,1,3,3
106,100019,2,2,3
113,100021,0,1,2
114,100021,0,1,2
117,100022,1,2,3
120,100022,4,4,5
122,100022,3,3,5
123,100023,1,1,6
125,100023,1,2,3
127,100023,1,2,3
136,100026,1,1,3
138,100026,1,1,3
143,100027,0,1,2
147,100028,2,2,4
149,100028,0,2,3
150,100028,0,0,1
157,100028,0,2,3
158,100028,0,2,2
162,100029,1,2,2
164,100030,2,0,3
165,100030,2,2,2
166,100030,1,1,2
172,100033,1,2,3
177,100033,3,3,3
178,100033,1,2,3
179,100033,1,4,4
181,100033,0,1,2
182,100033,0,1,3
186,100033,1,1,2
191,100033,1,2,2
193,100033,1,2,2
195,100034,0,0,2
201,100036,2,2,3
202,100036,6,6,7
203,100036,2,2,4
205,100036,1,1,2
210,100037,1,2,3
214,100038,1,3,5
215,100038,2,2,2
223,100039,1,1,2
226,100039,1,2,3
227,100039,1,2,3
233,100039,2,2,3
241,100042,4,2,5
245,100042,4,4,5
255,100045,1,1,1
257,100046,1,1,2
259,100046,1,1,3
261,100046,2,2,4
266,100046,1,1,1
270,100046,2,4,5
272,100047,4,2,5
275,100047,2,2,2
276,100047,2,2,2
284,100049,2,3,3
290,100050,1,2,2
293,100051,1,1,2
294,100051,3,3,3
297,100051,0,0,1
305,100053,0,0,1
314,100054,2,1,2
318,100054,3,2,3
319,100054,2,2,2
323,100055,3,2,4
327,100055,2,2,3
331,100055,2,2,4
334,100055,2,2,2
335,100055,3,3,3
340,100056,0,0,2
341,100057,3,4,4
343,100057,1,2,2
346,100057,2,2,3
347,100057,2,2,2
350,100057,1,1,2
351,100058,1,0,2
354,100058,0,2,6
355,100058,1,1,2
359,100059,1,2,2
361,100060,1,1,2
363,100060,1,2,2
365,100060,1,1,1
373,100063,2,1,2
374,100063,1,1,2
375,100063,1,1,3
385,100064,0,0,2
389,100065,1,2,4
397,100065,0,0,3
400,100065,2,2,3
401,100065,4,4,4
402,100065,5,5,7
403,100065,2,4,5
407,100065,1,1,2
408,100065,1,1,2
411,100065,1,1,3
413,100065,1,1,4
418,100065,1,2,2
421,100065,2,2,3
422,100065,3,3,3
440,100068,3,3,5
444,100068,2,2,3
445,100068,2,2,2
446,100068,2,4,4
447,100068,3,4,4
452,100068,4,4,5
454,100068,4,4,4
455,100068,3,3,4
456,100068,2,2,3
458,100068,2,2,3
459,100068,2,2,3
461,100069,2,2,2
468,100070,3,3,3
469,100070,3,3,3
470,100070,3,4,5
473,100070,1,1,2
475,100071,1,1,2
476,100071,1,2,2
478,100071,3,3,3
479,100071,2,2,3
480,100072,3,2,4
481,100072,2,1,2
485,100074,0,0,1
491,100076,2,2,3
492,100077,1,3,6
497,100077,1,2,3
500,100078,2,2,3
501,100079,1,1,2
508,100081,4,2,9
511,100081,1,1,3
516,100082,2,2,2
517,100083,0,0,2
524,100086,2,2,3
533,100086,1,1,2
536,100087,1,2,3
542,100088,3,0,4
544,100089,1,1,1
549,100090,1,2,3
551,100090,2,2,3
557,100090,0,2,3
559,100090,0,2,3
562,100090,3,3,3
563,100090,2,3,4
568,100092,1,2,3
571,100092,1,2,2
572,100092,1,3,3
573,100092,0,0,1
576,100092,2,2,2
581,100093,3,3,3
582,100093,3,3,4
583,100093,3,3,4
584,100093,3,3,3
585,100094,2,2,3
591,100094,1,1,3
593,100094,3,3,4
595,100095,1,1,2
600,100095,3,3,3
605,100096,1,2,4
606,100096,1,1,3
611,100096,1,2,2
619,100097,4,5,6
626,100098,3,3,5
630,100100,2,2,2
634,100101,2,1,4
635,100101,2,2,2
636,100102,3,4,5
637,100102,2,1,3
640,100104,2,2,4
642,100104,5,4,5
643,100104,1,1,1
644,100105,2,2,3
646,100105,2,2,3
652,100105,3,4,6
653,100106,0,0,1
659,100108,0,0,1
660,100109,2,0,2
661,100109,2,1,2
662,100110,3,3,4
663,100110,2,2,2
666,100110,3,3,3
668,100110,1,2,2
