id,product_uid,missing_query_terms,query_root_in_title,query_compound_in_title,query_other_in_title,total_query_root,total_query_compound,total_query_other,query_root_also_root_in_title
2,100001,['bracket'],0,1,0,1,1,0,0
3,100001,"['l', 'bracket']",0,0,0,1,1,0,0
9,100002,"['deck', 'over']",0,0,0,1,0,1,0
16,100005,"['rain', 'head']",0,1,0,1,2,0,0
17,100005,[],1,0,2,1,0,2,1
18,100006,['otr'],1,0,0,1,0,1,0
20,100006,['stove'],1,0,1,1,0,2,0
21,100006,[],1,0,0,1,0,0,0
23,100007,[],1,1,0,1,1,0,0
27,100009,[],1,1,0,1,1,0,0
34,100010,[],1,1,0,1,1,0,1
35,100011,['and'],1,2,1,1,2,2,0
37,100011,[],1,1,0,1,1,0,1
38,100011,['honda'],1,0,0,1,1,0,1
48,100012,"['chestnut', 'pull', 'up']",0,0,1,1,0,3,0
51,100013,[],1,0,0,1,0,0,0
65,100016,[],1,1,0,1,1,0,1
69,100017,"['door', 'guards']",0,0,0,1,1,0,0
75,100017,"['metal', 'plate', 'cover', 'gcfi']",0,0,0,1,1,2,0
81,100017,"['radiator', 'grate']",0,0,0,1,1,0,0
85,100017,"['windows', 'screens']",0,0,0,1,1,0,0
88,100019,"['1x1', 'rail', 'decorative', 'wood']",0,0,0,1,0,3,0
90,100019,"['4*8', 'beadboard']",1,0,0,1,1,1,0
92,100019,['4x8wood'],0,0,1,1,0,1,0
101,100019,['4x8'],1,0,0,1,0,1,0
105,100019,"['chair', 'rail']",0,1,0,1,2,0,0
106,100019,['plank'],1,1,0,1,2,0,0
113,100021,"['lawn', 'sprkinler']",0,0,0,1,1,0,0
114,100021,"['rainbird', 'sprinkler']",0,0,0,1,1,0,0
117,100022,"['platform', 'for']",0,0,1,1,0,2,0
120,100022,['3.7'],1,1,1,1,1,2,1
122,100022,"['upholstery', 'washing', 'machines']",0,0,2,1,2,2,0
123,100023,"['&', 'masonry', 'cleaner', '&', 'etcher']",1,0,0,1,1,4,0
125,100023,"['for', 'ponds']",1,0,0,1,0,2,0
127,100023,"['flexlock', 'for', 'cracks']",0,0,0,1,0,2,0
136,100026,"['belgium', 'block']",1,0,0,1,2,0,1
138,100026,"['ourdoor', 'patio', 'tile']",0,0,0,1,1,1,0
143,100027,"['insulation', 'roll']",0,0,0,1,1,0,0
147,100028,"['6ft', 'h', 'bamboo']",1,0,0,1,2,1,1
149,100028,"['balcony', 'privacy', 'screen']",0,0,0,1,2,0,0
150,100028,['bamboo'],0,0,0,1,0,0,0
157,100028,"['privacy', 'lattice', 'panels']",0,0,0,1,2,0,0
158,100028,"['privacy', 'panels']",0,0,0,1,1,0,0
162,100029,['paint'],0,1,0,1,1,0,0
164,100030,"['8', '4616809045', '9']",0,0,0,1,0,2,0
165,100030,[],1,1,0,1,1,0,0
166,100030,['4shelves'],1,0,0,1,0,1,0
172,100033,"['6', 'teir']",1,0,0,1,1,1,0
177,100033,[],1,1,0,1,1,0,0
178,100033,"['kitchen', 'cabinet']",0,1,0,1,2,1,0
179,100033,"['kitchen', 'tiered']",0,1,1,1,2,1,0
181,100033,"['pantry', 'rack']",0,0,0,1,1,0,0
182,100033,"['plastic', 'storage', 'racks']",0,0,0,1,2,0,0
186,100033,['metal'],0,1,0,1,1,0,0
